Number of Records,created_at,favorite_count,id_str,in_reply_to_screen_name,in_reply_to_status_id_str,is_retweet,lang,retweet_count,source,text
1,8/3/2017 11:14:22 PM,45,893248708208361472,,,false,en,40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","President Trump rally in Huntington, WV – LIVE on C-SPAN https://t.co/PA7930HDQK https://t.co/rDeUIU750G"
1,8/4/2017 1:36:35 PM,7,893465690786734080,,,false,en,12,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",".@PressClubDC discussion on Access, Security and Civility – LIVE on C-SPAN2 https://t.co/4RZJnLj3GM https://t.co/SjG0Aa9DHb"
1,8/4/2017 3:07:54 PM,32,893488673471291392,,,false,en,28,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Attorney General Jeff Sessions (@TheJusticeDept), media leaks announcement – LIVE at 11am ET on C-SPAN… https://t.co/6z2jvCWpLF"
1,8/4/2017 3:36:23 PM,65,893495840278540289,,,false,en,33,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>","""This culture of leaking must stop"" – Attorney General Jeff Sessions on National Security Leaks. Full statement at… https://t.co/wvqbQEnVws"
1,8/4/2017 4:05:45 PM,16,893503233242673152,,,false,en,16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Keith Hall, Director, Congressional Budget Office (@uscbo) speaking on retirement security – LIVE on C-SPAN2… https://t.co/D9pRaOPHMD"
1,8/4/2017 8:38:55 PM,10,893571976366829568,,,false,en,6,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",.@CSPANCities takes you to #Tacoma this weekend on @BookTV &amp; @CSPANhistory. https://t.co/GoNxMjKKlZ Check out this… https://t.co/VWSVka7mYr
1,8/4/2017 11:49:00 PM,10,893619812416462848,,,false,en,10,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Interview with @secelainechao – 8pm ET on C-SPAN https://t.co/m9pEsMQ7nX https://t.co/8jidHh2c3Y
1,8/5/2017 1:53:00 PM,3,893832213187371010,,,false,en,4,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Starting shortly on @BookTV (C-SPAN2) https://t.co/mHYkECcm1w
1,8/5/2017 2:00:03 PM,9,893833984785952769,,,false,en,6,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","This weekend @cspanHistory &amp; @BookTV explore literary culture &amp; history of Tacoma, WA via @CSPANCities.… https://t.co/jPbv8QNYsG"
1,8/5/2017 9:56:00 PM,14,893953763689381888,,,false,en,11,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Starting shortly on @cspanradio. https://t.co/SufapDARFZ
1,8/6/2017 2:00:00 PM,4,894196363067510785,,,false,en,10,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","#Newsmakers with @RepRichardNeal, questions from @RichardRubinDC &amp; @rachaelmbade – NOW on C-SPAN… https://t.co/fsGK1MNL6m"
1,8/6/2017 3:55:01 PM,6,894225303983329281,,,false,en,6,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Starting shortly on @BookTV (C-SPAN2). https://t.co/CGbRhXoOVm https://t.co/dUzgnmDXxR
1,8/6/2017 10:46:00 PM,17,894328733515075585,,,false,en,10,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",.@saishopkins discussion on South Korea Military Defense – LIVE at 7pm ET on C-SPAN2 https://t.co/WDy9c0I249
1,8/6/2017 11:46:00 PM,20,894343833814683648,,,false,en,14,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Q&amp;A with @CateLineberry on her book, ""Be Free or Die"" – 8pm ET on C-SPAN https://t.co/4WcogDWKac https://t.co/MWrdh1FgtW"
1,8/7/2017 2:07:14 PM,13,894560567448530944,,,false,en,19,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",.@NewseumReligion discussion on Combating Violent Extremism @Newseum – LIVE on C-SPAN https://t.co/fDNhyjgXuK… https://t.co/SnlF9gMApX
1,8/7/2017 5:06:13 PM,20,894605610192433153,,,false,en,14,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",.@NewseumReligion discussion on Combating Violent Extremism @Newseum continues – LIVE on C-SPAN… https://t.co/mMMqlD6cAV
1,8/7/2017 6:13:39 PM,192,894622581667614720,,,false,en,89,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",.@Politicon discussion on #Russia with Actor/Filmmaker @robreiner &amp; @davidfrum (taped 7/29/17) – 8pm ET on C-SPAN… https://t.co/20SdvVENCU
1,8/7/2017 11:58:00 PM,29,894709241163898880,,,false,en,23,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Starting shortly on C-SPAN. https://t.co/ZYauZZTqg4
1,8/8/2017 1:14:41 PM,8,894909731365670913,,,false,en,7,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",.@SecShulkin on Health Care Innovations – LIVE on C-SPAN2 https://t.co/GIIaRVhzH9 https://t.co/DZp4RsTknv
1,8/8/2017 1:56:42 PM,25,894920308318142465,,,false,en,14,"<a href=""https://ads.twitter.com"" rel=""nofollow"">Twitter Ads</a>",".@SecShulkin' as fire alarm sounds during his remarks: ""Sorry about this, but I think we should probably exit the b… https://t.co/OW6jenVqXN"
1,8/8/2017 2:10:47 PM,8,894923849929805824,,,false,en,8,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Discussion on Health Care Benefit Costs, @NBGHemployers hosts  – LIVE on C-SPAN https://t.co/8emwiGqt07 https://t.co/SOqj5oQbl8"
1,8/8/2017 2:11:28 PM,7,894924022869364736,,,false,en,9,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Discussion on U.S. Military Action in Syria – LIVE on C-SPAN2 https://t.co/4At9dqaaU2 https://t.co/8RLz7H98rL
1,8/8/2017 3:06:51 PM,5,894937961753702404,,,false,en,21,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Discussion on Countering Violent Extremism, @heritage hosts – LIVE on C-SPAN https://t.co/K35muwGAj1 https://t.co/3BQFBIbC2X"
1,8/8/2017 4:09:51 PM,19,894953815132315648,,,false,en,16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Discussion on Combating Oil Corruption, @CarnegieEndow hosts – LIVE on C-SPAN https://t.co/91H9r9oTqt https://t.co/QbZoqFzWLo"
1,8/8/2017 4:33:55 PM,36,894959869299752960,,,false,en,30,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Coming Feb. 2018 from C-SPAN: A 2nd season of #LandmarkCases... All new season. All new #SCOTUS cases. Same partner… https://t.co/7GrQ5X7Rij
