Number of Records,created_at,favorite_count,id_str,in_reply_to_screen_name,in_reply_to_status_id_str,is_retweet,lang,retweet_count,source,text
1,11/15/2017 12:44:25 AM,100,930597322198630400,,,false,en,64,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","'Bitcoin is digital gold,' says Mike Novogratz. Watch more from #ReutersSummit guests in @ReutersTV playlist… https://t.co/KdDjHhzj7A"
1,11/15/2017 12:49:47 AM,16,930598670009069568,,,false,en,14,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Asian stocks slip as oil woes sap sentiment, euro stands tall https://t.co/r3oGMGpAVf"
1,11/15/2017 12:56:04 AM,131,930600252301873152,,,false,en,55,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",Senate committee questions Trump's nuclear authority https://t.co/WNnWGfsIBh https://t.co/pmaErbmGIr
1,11/15/2017 12:57:39 AM,35,930600649951252480,,,false,en,19,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Foxconn's quarterly profit slides 39 percent amid shipment woes https://t.co/Q93gFahq9i
1,11/15/2017 1:00:13 AM,18,930601296171761664,,,false,en,20,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>","Venezuela says debt refinancing under way, S&amp;P calls selective default https://t.co/DPQF1RNN8A https://t.co/rbM0jLvo5a"
1,11/15/2017 1:10:05 AM,27,930603779539562501,,,false,en,18,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>","Short-seller Chanos adds to Tesla bet, predicts CEO will leave https://t.co/la93l4aGhI https://t.co/nuiF6zVHlf"
1,11/15/2017 1:20:10 AM,106,930606316615282688,,,false,en,31,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>","Taylor Swift's 'Reputation' sales soar, but Adele keeps her crown https://t.co/lUQ969eOqf https://t.co/GHpWKhGr2D"
1,11/15/2017 1:30:12 AM,58,930608842798456832,,,false,en,89,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",Senate Republicans tie tax plan to repeal of key Obamacare mandate https://t.co/3cdUEjLPhQ https://t.co/BtQLgPCnnb
1,11/15/2017 1:40:05 AM,58,930611329379065856,,,false,en,85,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",U.S. government witness in FIFA trial says media companies paid bribes https://t.co/Q46F2AvzTp https://t.co/MfJRhwSjYQ
1,11/15/2017 1:50:05 AM,56,930613845260894208,,,false,en,55,"<a href=""http://trueanthem.com/"" rel=""nofollow"">trueAnthem</a>",U.S. government shares technical details on North Korean hacking campaign https://t.co/1RyRgE3bAL https://t.co/2avnQ0tcTY
